pid,logical_core,engine,lane,role,event_count,start_us,end_us,span_us,wait_dev_us,cube_mmad_count,vector_math_count,vector_control_count,transfer_bytes,vector_signature
core8.veccore0,8,AIV,0,active_aiv,15755,22.726,63.226,40.5,16.476,0,67,1529,267776,BAR:517;MOVEMASK:986;MOVEV:18;VADD:12;VBRCB:198;VCMPVS:6;VCONV:6;VCOPY:198;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:7;VOR:96;VSEL:6
core8.veccore1,8,AIV,1,active_aiv,15759,22.726999,63.226,40.499,16.478001,0,67,1529,267776,BAR:517;MOVEMASK:986;MOVEV:18;VADD:12;VBRCB:198;VCMPVS:6;VCONV:6;VCOPY:198;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:7;VOR:96;VSEL:6
core9.cubecore0,9,AIC,0,useful_aic,15292,22.716,40.398,17.682001,0.122,16,0,20,1081472,
core9.veccore0,9,AIV,0,active_aiv,15764,22.728001,63.227002,40.499001,16.476,0,67,1529,267776,BAR:517;MOVEMASK:986;MOVEV:18;VADD:12;VBRCB:198;VCMPVS:6;VCONV:6;VCOPY:198;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:7;VOR:96;VSEL:6
core9.veccore1,9,AIV,1,active_aiv,15759,22.728001,63.227002,40.499001,16.474001,0,67,1529,267776,BAR:517;MOVEMASK:986;MOVEV:18;VADD:12;VBRCB:198;VCMPVS:6;VCONV:6;VCOPY:198;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:7;VOR:96;VSEL:6
core10.cubecore0,10,AIC,0,useful_aic,15292,22.716999,40.398,17.681001,0.004,16,0,20,1081472,
core10.veccore0,10,AIV,0,active_aiv,17420,22.729,63.222001,40.493001,16.472,0,74,1722,268544,BAR:583;MOVEMASK:1109;MOVEV:21;VADD:14;VBRCB:223;VCMPVS:7;VCONV:7;VCOPY:223;VEXP:7;VMOVMASK_XN:7;VMUL:25;VMULS:7;VOR:112;VSEL:7
core10.veccore1,10,AIV,1,active_aiv,17315,22.729,63.226,40.496999,16.469999,0,73,1677,268544,BAR:568;MOVEMASK:1079;MOVEV:21;VADD:14;VBRCB:216;VCMPVS:7;VCONV:7;VCOPY:216;VEXP:7;VMOVMASK_XN:7;VMUL:24;VMULS:7;VOR:112;VSEL:7
core11.cubecore0,11,AIC,0,useful_aic,15292,22.718,40.398,17.68,0.122,16,0,20,1081472,
core11.veccore0,11,AIV,0,active_aiv,17396,22.73,63.223,40.493001,16.474001,0,74,1703,268544,BAR:576;MOVEMASK:1097;MOVEV:21;VADD:14;VBRCB:220;VCMPVS:7;VCONV:7;VCOPY:219;VEXP:7;VMOVMASK_XN:7;VMUL:25;VMULS:7;VOR:112;VSEL:7
core11.veccore1,11,AIV,1,active_aiv,15760,22.731001,63.227002,40.496001,16.475,0,67,1529,267776,BAR:517;MOVEMASK:986;MOVEV:18;VADD:12;VBRCB:198;VCMPVS:6;VCONV:6;VCOPY:198;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:7;VOR:96;VSEL:6
core12.cubecore0,12,AIC,0,useful_aic,15326,22.719,40.398,17.679001,0.058,16,0,21,1044608,
core12.veccore0,12,AIV,0,active_aiv,17390,22.731001,63.224999,40.493998,16.473,0,74,1703,268544,BAR:576;MOVEMASK:1097;MOVEV:21;VADD:14;VBRCB:220;VCMPVS:7;VCONV:7;VCOPY:219;VEXP:7;VMOVMASK_XN:7;VMUL:25;VMULS:7;VOR:112;VSEL:7
core12.veccore1,12,AIV,1,active_aiv,17161,22.732,63.227002,40.495001,16.476999,0,73,1655,268544,BAR:560;MOVEMASK:1065;MOVEV:21;VADD:14;VBRCB:213;VCMPVS:7;VCONV:7;VCOPY:212;VEXP:7;VMOVMASK_XN:7;VMUL:24;VMULS:7;VOR:112;VSEL:7
core13.cubecore0,13,AIC,0,useful_aic,15326,22.721001,40.398,17.677,0.177,16,0,21,1044608,
core13.veccore0,13,AIV,0,active_aiv,15327,22.732,63.225998,40.493998,16.479,0,66,1488,267776,BAR:504;MOVEMASK:958;MOVEV:18;VADD:12;VBRCB:192;VCMPVS:6;VCONV:6;VCOPY:192;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:6;VOR:96;VSEL:6
core13.veccore1,13,AIV,1,active_aiv,15327,22.733,63.227002,40.494002,16.482,0,66,1488,267776,BAR:504;MOVEMASK:958;MOVEV:18;VADD:12;VBRCB:192;VCMPVS:6;VCONV:6;VCOPY:192;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:6;VOR:96;VSEL:6
core14.cubecore0,14,AIC,0,useful_aic,14383,22.722,40.398,17.676,0.213,15,0,19,1015936,
core14.veccore0,14,AIV,0,active_aiv,15320,22.733,63.226002,40.493002,16.469999,0,66,1488,267776,BAR:504;MOVEMASK:958;MOVEV:18;VADD:12;VBRCB:192;VCMPVS:6;VCONV:6;VCOPY:192;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:6;VOR:96;VSEL:6
core14.veccore1,14,AIV,1,active_aiv,15320,22.733999,63.225999,40.492,16.472,0,66,1488,267776,BAR:504;MOVEMASK:958;MOVEV:18;VADD:12;VBRCB:192;VCMPVS:6;VCONV:6;VCOPY:192;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:6;VOR:96;VSEL:6
core15.cubecore0,15,AIC,0,useful_aic,14383,22.723,40.398,17.675001,0.332,15,0,19,1015936,
core15.veccore0,15,AIV,0,active_aiv,14845,22.733999,63.135002,40.401003,16.469999,0,66,1488,234240,BAR:504;MOVEMASK:958;MOVEV:18;VADD:12;VBRCB:192;VCMPVS:6;VCONV:6;VCOPY:192;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:6;VOR:96;VSEL:6
core15.veccore1,15,AIV,1,active_aiv,15763,22.735001,63.225998,40.490998,16.471001,0,67,1529,267776,BAR:517;MOVEMASK:986;MOVEV:18;VADD:12;VBRCB:198;VCMPVS:6;VCONV:6;VCOPY:198;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:7;VOR:96;VSEL:6
core16.cubecore0,16,AIC,0,useful_aic,14383,22.724001,40.398,17.674,0.213,15,0,19,1015936,
core16.veccore0,16,AIV,0,active_aiv,15756,22.736,63.227002,40.491002,16.466,0,67,1529,267776,BAR:517;MOVEMASK:986;MOVEV:18;VADD:12;VBRCB:198;VCMPVS:6;VCONV:6;VCOPY:198;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:7;VOR:96;VSEL:6
core16.veccore1,16,AIV,1,active_aiv,15758,22.736,63.224999,40.488999,16.468,0,67,1529,267776,BAR:517;MOVEMASK:986;MOVEV:18;VADD:12;VBRCB:198;VCMPVS:6;VCONV:6;VCOPY:198;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:7;VOR:96;VSEL:6
core17.cubecore0,17,AIC,0,useful_aic,14383,22.725,40.398,17.673,0.332,15,0,19,1015936,
core17.veccore0,17,AIV,0,active_aiv,15763,22.737,63.225998,40.488999,16.471001,0,67,1529,267776,BAR:517;MOVEMASK:986;MOVEV:18;VADD:12;VBRCB:198;VCMPVS:6;VCONV:6;VCOPY:198;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:7;VOR:96;VSEL:6
core17.veccore1,17,AIV,1,active_aiv,15761,22.737,63.225998,40.488999,16.469999,0,67,1529,267776,BAR:517;MOVEMASK:986;MOVEV:18;VADD:12;VBRCB:198;VCMPVS:6;VCONV:6;VCOPY:198;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:7;VOR:96;VSEL:6
core18.cubecore0,18,AIC,0,useful_aic,14383,22.726,40.398,17.672001,0.213,15,0,19,1015936,
core18.veccore0,18,AIV,0,active_aiv,15321,22.738001,63.226,40.487999,16.466999,0,66,1488,267776,BAR:504;MOVEMASK:958;MOVEV:18;VADD:12;VBRCB:192;VCMPVS:6;VCONV:6;VCOPY:192;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:6;VOR:96;VSEL:6
core18.veccore1,18,AIV,1,active_aiv,15320,22.738001,63.225999,40.487998,16.466,0,66,1488,267776,BAR:504;MOVEMASK:958;MOVEV:18;VADD:12;VBRCB:192;VCMPVS:6;VCONV:6;VCOPY:192;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:6;VOR:96;VSEL:6
core19.cubecore0,19,AIC,0,useful_aic,14383,22.726999,40.398,17.671001,0.332,15,0,19,1015936,
core19.veccore0,19,AIV,0,active_aiv,15326,22.739,63.226002,40.487001,16.464001,0,66,1488,267776,BAR:504;MOVEMASK:958;MOVEV:18;VADD:12;VBRCB:192;VCMPVS:6;VCONV:6;VCOPY:192;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:6;VOR:96;VSEL:6
core19.veccore1,19,AIV,1,active_aiv,15323,22.739,63.225998,40.486998,16.462999,0,66,1488,267776,BAR:504;MOVEMASK:958;MOVEV:18;VADD:12;VBRCB:192;VCMPVS:6;VCONV:6;VCOPY:192;VEXP:6;VMOVMASK_XN:6;VMUL:24;VMULS:6;VOR:96;VSEL:6
